"Brand","SKU","UPC","Description","Flavor","Variant","Tags","Units Per Case"
"Artica","062794","00-8-12704-20100-9","20OZ 24PK ARTICA WATER","Original","","","24"
"Artica","062795","00-8-12704-00501-0","16.9OZ 24PK ARTICA WATER","Original","","","24"
"Brisk","014108","00-0-12000-20238-4","1L 12PK LPTN BRISK DP","Lemon Iced Tea","","","12"
"Brisk","057943","00-0-12000-16123-0","1L 15PK LPTN BSK STR MELON","Strawberry Melon Iced Tea","","","15"
"Brisk","057941","00-0-12000-03401-5","1L 15PK LPTN BSK TEA LEMADE","Half & Half","","","15"
"Brisk","060258","00-0-12000-10190-8","1L 15PK LPTN BSK LEMONADE","Lemonade","","","15"
"Brisk","060412","00-0-12000-14102-7","1.25L 12PK LPTN BRISK","Lemon Iced Tea","","","12"
"Brisk","015533","00-0-12000-81009-1","12OZ 12PK CN LPTN BRISK DP","Lemon Iced Tea","","","24"
"Brisk","014332","00-0-12000-20237-7","2L 6PK LPTN BRISK DP","Lemon Iced Tea","","","6"
"Brisk","014214","00-0-12000-00369-1","20OZ 24PK LPTN BRISK DP","Lemon Iced Tea","","","24"
"Brisk","014215","00-0-12000-00273-1","20OZ 24PK LPTN BRISK LEMADE DP","Lemonade","","","24"
"Brisk","059204","00-0-12000-81120-3","16.9OZ 6PK LPTN BSK SWT LEMON","Lemon Iced Tea","","","24"
"Crush","059299","00-0-78000-02963-5","7.5OZ 6PK CN CRUSH ORANGE","Orange","","","24"
"Crush","059944","00-0-78000-03146-1","7.5OZ 3/10PK CN CRUSH ORANGE","Orange","","","30"
"Crush","062415","00-0-41710-11248-5","12OZ 24PK GL CRUSH ORANGE","Orange","","","24"
"Crush","056829","00-0-78000-01305-4","12OZ 12PK CN CRUSH ORANGE DP","Orange","Zero Sugar","New","24"
"Crush","057822","00-0-78000-01345-0","12OZ 12PK CN CRUSH GRAPE DP","Grape","Zero Sugar","New","24"
"Crush","062840","00-0-78000-01411-2","12OZ 12PK CN CRUSH PINEAPPLE","Pineapple","Zero Sugar","New","24"
"Crush","056828","00-0-78000-01389-4","12OZ 12PK CN CRUSH DT ORG DP","Orange","Zero Sugar","New;Limited","24"
"Crush","062821","00-0-78000-50109-4","12OZ 12PK CN CRUSH TROPICAL PUNCH","Big Troppa Punch","","New;Limited","24"
"Crush","061917","00-0-78000-01933-9","16OZ 12PK CN CRUSH ORANGE","Orange","","","12"
"Crush","061918","00-0-78000-01935-3","16OZ 12PK CN CRUSH GRAPE","Grape","","","12"
"Crush","055993","00-0-78000-01325-2","16.9OZ 6PK CRUSH ORANGE","Orange","","","24"
"Crush","056848","00-0-78000-01328-3","20OZ 24PK CRUSH ORANGE DP","Orange","Zero Sugar","","24"
"Crush","057821","00-0-78000-01352-8","20OZ 24PK CRUSH GRAPE DP","Grape","Zero Sugar","New;Limited","24"
"Crush","055514","00-0-78000-01414-3","20OZ 24PK CRUSH PINEAPPLE DP","Pineapple","Zero Sugar","New;Limited","24"
"Crush","062031","00-0-78000-01395-5","20OZ 24PK CRUSH ZERO ORANGE","Orange","Zero Sugar","New;Limited","24"
"Crush","062820","00-0-78000-50105-6","20OZ 24PK CRUSH TROPICAL PUNCH","Big Troppa Punch","","New;Limited","24"
"Crush","058721","00-0-78000-01315-3","1.25L 12PK CRUSH ORANGE","Orange","","","12"
"Crush","060818","00-0-78000-03507-0","1.25L 12PK CRUSH GRAPE DP","Grape","","","12"
"Crush","055289","00-0-78000-01336-8","2L 6PK CRUSH ORANGE DP","Orange","","","6"
"Crush","057820","00-0-78000-01356-6","2L 6PK CRUSH GRAPE DP","Grape","Zero Sugar","","6"
"Crush","055515","00-0-78000-01416-7","2L 6PK CRUSH PINEAPPLE DP","Pineapple","Zero Sugar","","6"
"Crush","055294","00-0-78000-01371-9","2L 6PK CRUSH STRAWBERRY DP","Strawberry","Zero Sugar","","6"
"Crush","055291","00-0-78000-01397-9","2L 6PK CRUSH DT ORANGE DP","Orange","Zero Sugar","","6"
"Gatorade","061347","00-0-52000-12936-6","12OZ 4/6PK PET GAT FRUIT PUNCH","Fruit Punch","","","24"
"Gatorade","061564","00-0-52000-04166-8","12OZ 4/6PK PET GAT COOL BLUE","Cool Blue","","","24"
"Gatorade","061349","00-0-52000-12934-2","12OZ 4/6PK PET GAT LEMON LIME","Lemon Lime","","","24"
"Gatorade","061350","00-0-52000-12935-9","12OZ 4/6PK PET GAT ORANGE","Orange","","","24"
"Gatorade","061346","00-0-52000-12125-4","12OZ 4/6PK PET GAT BERRY","Berry","","","24"
"Gatorade","061345","00-0-52000-04165-1","12OZ 4/6PK PET GAT FROST GL FZ","Frost Glacier Freeze","","","24"
"Gatorade","061348","00-0-52000-10310-6","12OZ 4/6PK PET GAT GLAC CHERRY","Frost Glacier Cherry","","","24"
"Gatorade","060045","00-0-52000-30903-4","11.6OZ 24PK CN GAT FRT PUNCH","Fruit Punch","","","24"
"Gatorade","062103","00-0-52000-00901-9","11.6OZ 24PK CN GAT LEMON LIME","Lemon Lime","","","24"
"Gatorade","060046","00-0-52000-00902-6","11.6OZ 24PK CN GAT ORANGE","Orange","","","24"
"Gatorade","061366","00-0-52000-12196-4","12OZ 12PK GAT FRUIT PUNCH","Fruit Punch","","","24"
"Gatorade","061365","00-0-52000-12206-0","12OZ 12PK GAT COOL BLUE","Cool Blue","","","24"
"Gatorade","061369","00-0-52000-12178-0","12OZ 12PK GAT LEMON LIME","Lemon Lime","","","24"
"Gatorade","061371","00-0-52000-12937-3","12OZ 12PK GAT ORANGE","Orange","","","24"
"Gatorade","061370","00-0-52000-04768-4","12OZ 12PK GAT LIME CUCUM","Lime Cucumber","","","24"
"Gatorade","061368","00-0-52000-12251-0","12OZ 12PK GAT GLAC FREEZE","Frost Glacier Freeze","","","24"
"Gatorade","061367","00-0-52000-10312-0","12OZ 12PK GAT GLAC CHERRY","Frost Glacier Cherry","","","24"
"Gatorade","061363","00-0-52000-12324-1","12OZ 18PK GAT ALL STAR VP","Fruit Punch | Lemon Lime | Orange","","","18"
"Gatorade","061364","00-0-52000-12325-8","12OZ 18PK GAT THIRST Q VP","Grape | Strawberry | Berry","","","18"
"Gatorade","061359","00-0-52000-04573-4","12OZ 18PK GAT PATRIOT VP","Glacier Cherry | Fruit Punch | Cool Blue","","","18"
"Gatorade","062465","00-0-52000-06573-2","12OZ 18PK GAT MASHUP VP","Mashups Variety Pack","","","18"
